Name,Percent Male,Percent Female
Annabellah,0,0
Arely,0,0
Elizeo,0,0
Dago,0,0
Poetry,0,0
Lyberti,0,0
Tawsif,0,0
Larsen,0.75,0.25
Elizer,0,0
Ayodeji,0,0
Aaiza,0,0
Mackinnon,0,0
Destani,0,0
Deklyn,0.7222222222222222,0.2777777777777778
Surafel,0,0
Aixa,0,0
Jennalise,0,0
Carrisa,0,0
Destany,0,0
Cael,0,0
Elea,0,0
Blade,0,0
Ayleen,0,0
Jorell,0,0
Jhase,0,0
Averly,0,0
Elex,0,0
Cortlynn,0,0
Faizon,0,0
Goshen,0,0
Rayleigh,0,0
Daryen,0,0
Daryel,0,0
Navayah,0,0
Oliverio,0,0
Caniyah,0,0
Malaisia,0,0
Kathrynne,0,0
Falak,0,0
Shantel,0,0
Roqaya,0,0
Jewelz,0.2413793103448276,0.7586206896551724
Ginger,0,0
Ladarion,0,0
Jewell,0.18333333333333332,0.8166666666666667
Swayze,0.15254237288135594,0.847457627118644
Isley,0.125,0.875
Dexter,0,0
Harvey,0,0
Muizz,0,0
Henchy,0,0
Kimberleigh,0,0
Leiland,0,0
Leilana,0,0
Bryanah,0,0
Delan,0,0
Leilani,0,0
Vernon,0,0
Remmi,0,0
Randell,0,0
Leilany,0,0
Glenna,0,0
Ziair,0,0
Zalaya,0,0
Ondine,0,0
Adamari,0,0
Kysin,0,0
Indigo,0.23943661971830985,0.7605633802816901
Edgardo,0,0
Taseen,0,0
Adamary,0,0
Kayci,0,0
Kayce,0.30434782608695654,0.6956521739130435
Le,0,0
Saharra,0,0
Aabha,0,0
Xavy,0,0
Lj,0,0
Li,0,0
Khylen,0,0
Oberon,0,0
Navia,0,0
Navie,0,0
Navid,0,0
Navin,0,0
Nawaal,0,0
Niranjan,0,0
Falcon,0,0
Maccoy,0,0
Elek,0,0
Bates,0,0
Jazalyn,0,0
Mae,0,0
Jayliani,0,0
Jayliana,0,0
Chananya,0,0
Jayliany,0,0
Anjali,0,0
Mabel,0,0
Shimon,0,0
Kiyara,0,0
Willy,0,0
Zayyan,0,0
Ashden,0,0
Fabricio,0,0
Akaash,0,0
Haadi,0,0
Jazelyn,0,0
Jayen,0,0
Jayel,0,0
Janneth,0,0
Rayssa,0,0
Willo,0,0
Willa,0,0
Robertson,0,0
Gwenyth,0,0
Abbott,0.8545454545454545,0.14545454545454545
Trayvion,0,0
Rubina,0,0
Royer,0,0
Royel,0.6153846153846154,0.38461538461538464
Jaymarie,0,0
Srihitha,0,0
Landry,0.5009276437847866,0.49907235621521334
Tannar,0,0
Macii,0,0
Harriette,0,0
Kashia,0,0
Alon,0,0
Macie,0,0
Peytan,0,0
Satvika,0,0
Jamesmichael,0,0
Servando,0,0
Xzayvion,0,0
Haruma,0,0
Jakhari,0,0
Shams,0,0
Rylynne,0,0
Harumi,0,0
Yukta,0,0
Jaiceyon,0,0
Shama,0,0
Scarlettrose,0,0
Idali,0,0
Brayen,0,0
Jaedan,0,0
Bryndal,0,0
Idaly,0,0
Kahlen,0,0
Susie,0,0
Tanmay,0,0
Kahlee,0,0
Toleen,0,0
Kahlea,0,0
Kahleb,0,0
Aleina,0,0
Kaleia,0,0
Janessa,0,0
Vaishnavi,0,0
Azumi,0,0
Safia,0,0
Joslin,0,0
Corinne,0,0
Blessings,0,0
Amylah,0,0
Corinna,0,0
Paul,0,0
Safir,0,0
Nigel,0,0
Aunisty,0,0
Adrina,0,0
Ibrahima,0,0
Carmin,0,0
Chante,0,0
Mairin,0,0
Johnwilliam,0,0
Mairim,0,0
Katerin,0,0
Chantz,0,0
Zivon,0,0
Kaja,0,0
Aubrina,0,0
Alycia,0,0
Bintu,0,0
Avaya,0,0
Binta,0,0
Nolon,0,0
Aaliyana,0,0
Binti,0,0
Ciaran,0,0
Montserrath,0,0
Aamina,0,0
Aniyah,0,0
Ranim,0,0
Jamarkus,0,0
Lealand,0,0
Rania,0,0
Aliyaah,0,0
Jaxan,0,0
Azimjon,0,0
Jalayla,0,0
Xaria,0,0
Zeth,0,0
Zeta,0,0
Jermyra,0,0
Jaeonna,0,0
Neco,0,0
Aidon,0,0
Rolland,0,0
Jocilynn,0,0
Theo,0,0
Inigo,0,0
Lakshmy,0,0
Thea,0,0
Vedhika,0,0
Pascual,0,0
Coralei,0,0
Lakshmi,0,0
Coralee,0,0
Linnaea,0,0
Millianna,0,0
Coralea,0,0
Jessamae,0,0
Jotham,0,0
Pooja,0,0
Seif,0,0
Pandora,0,0
Mahlet,0,0
Frimet,0,0
Karrie,0,0
Daion,0,0
Arkham,0,0
Laleh,0,0
Jaylenne,0,0
Marko,0,0
Marki,0,0
Elizaveta,0,0
Nour,0.18072289156626506,0.8192771084337349
Aurick,0,0
Darya,0,0
Gunnison,0,0
Daryn,0.6071428571428571,0.39285714285714285
Daryl,0,0
Mylan,0.7105263157894737,0.2894736842105263
Taiyo,0,0
Mylah,0,0
Taiya,0,0
Knylah,0,0
Tian,0,0
Tiam,0,0
Tiah,0,0
Hamilton,0,0
Khaliya,0,0
Yariah,0,0
Jaloni,0,0
Alonnie,0,0
Hoang,0,0
Khadar,0,0
Bexlee,0,0
Mayara,0,0
Nysir,0,0
Burgundy,0,0
Bexley,0.14666666666666667,0.8533333333333334
Mayari,0,0
Luchiano,0,0
Dantavious,0,0
Leiliana,0,0
Vianey,0,0
Rin,0,0
Rio,0.6917808219178082,0.3082191780821918
Rim,0,0
Chelsie,0,0
Karsen,0.7729083665338645,0.22709163346613545
Ria,0,0
Idalee,0,0
Anderson,0.9593023255813954,0.040697674418604654
Malyk,0,0
Yaileen,0,0
Tymir,0,0
Qasim,0,0
Ziva,0,0
Shanylah,0,0
Chidinma,0,0
Bronc,0,0
Onnaleigh,0,0
Bronx,0.9621212121212122,0.03787878787878788
Danicka,0,0
Rithik,0,0
Lakiah,0,0
Ahsoka,0,0
Laury,0,0
Loryn,0,0
Laura,0,0
Lanson,0,0
Lemar,0,0
Macaela,0,0
Lauro,0,0
Ghazi,0,0
Gionnie,0,0
Dhyaan,0,0
Annisten,0,0
Raeya,0,0
Allianna,0,0
Nykolas,0,0
Jorin,0,0
Gunter,0,0
Shya,0,0
Jorie,0,0
Remington,0.728656518861681,0.271343481138319
Poseidon,0,0
Chadd,0,0
Delsin,0,0
Asael,0,0
Xyliana,0,0
Donovan,0.9960411718131433,0.00395882818685669
Makynna,0,0
Elgin,0,0
Talley,0,0
Kaliber,0,0
Avien,0,0
Zyere,0,0
Madeliene,0,0
Shavy,0,0
Tallen,0,0
Chizaram,0.20689655172413793,0.7931034482758621
Skyi,0,0
Karrine,0,0
Leighlynn,0,0
Rafiel,0,0
Skya,0,0
Skye,0.06283280085197018,0.9371671991480298
